,uncertainty,certainty,mae_24,rmse_24,mdpe_24,mae_combined,rmse_combined,mdpe_combined
11777,0.08951548193963776,0.9104845180603622,0.6239290328427949,0.6320372141703505,0.7626004880182167,0.7846010500841998,0.6984192009515705,0.8045591198150446
11778,0.08878660126392224,0.9112133987360778,0.6558850025466751,0.6337837186428571,0.7643399777873828,0.5875583688738693,0.6248291576083013,0.7652132336051072
11779,0.0943334398307345,0.9056665601692655,0.6429902640060431,0.6275413875456128,0.7622196312132848,0.5818463296305811,0.6191829000986281,0.7601700911253827
11780,0.09937946980852141,0.9006205301914786,0.6350321101496611,0.6230887493580951,0.7610832268122512,0.6373890039762525,0.6402080237441629,0.7888992366697308
11781,0.09940962186770108,0.9005903781322989,0.44463090353883633,0.5451573224693831,0.7113072818890287,0.6128216556320495,0.638807813354088,0.8051252487971742
11782,0.09842233734952377,0.9015776626504762,0.4558567105012636,0.5447489201658864,0.7108710322232868,0.4638930797395884,0.544291809452562,0.7101879064331159
11783,0.09290355392059735,0.9070964460794027,0.4859134234562628,0.5517782509620874,0.7184061557238842,0.5413170447386105,0.5471278264485997,0.7112499505129432
11784,0.06438151446889206,0.9356184855311079,0.5361352268731052,0.604048321303487,0.7710368854460633,0.6273228298782968,0.6182652398171662,0.7848469326434083
11785,0.06325542538930662,0.9367445746106934,0.5813234261597462,0.6212411965017818,0.7877702156198048,0.770008795360497,0.7443511301594503,0.8949943999707671
11786,0.06359536401546872,0.9364046359845313,0.6292714064665643,0.6374500969178147,0.8031009029668923,0.7129468771239629,0.7136759296818709,0.8612622214513519
11787,0.06302746654729363,0.9369725334527064,0.6857603740410391,0.6537347864571377,0.8184343872109968,0.7294248479362643,0.649875184858631,0.8121993074358522
11788,0.046918244817959365,0.9530817551820406,0.5658717085673491,0.5348624390375942,0.6911253625353154,0.40916479348312,0.4001278483970564,0.5367976618652811
11789,0.06472465278355655,0.9352753472164435,0.803359250254361,0.7716520146848551,0.9143752932223745,0.7548236708272095,0.8067355682472029,0.9318972270685223
11790,0.094790998430207,0.905209001569793,0.7411120528676869,0.7112144893320628,0.8686558224931814,0.7684984914431342,0.737022677052671,0.8880299589810707
11791,0.09930713602729879,0.9006928639727012,0.5967035158864394,0.5287928739620791,0.693570851424363,0.7346380504383877,0.7772043582909263,0.8821152832944208
11792,0.11018780493848845,0.8898121950615115,0.6137600495927517,0.5716290260274297,0.7231721550220036,0.7338379652039739,0.8250436938038528,0.9419927282590996
11793,0.10104878000756146,0.8989512199924385,0.6035053179039215,0.6632321984694517,0.8281921441715203,0.6013123046559854,0.6782125870198663,0.8403983395710664
11794,0.08227267245987147,0.9177273275401285,1.3856049220578928,0.9696306639867404,0.9904911412622354,1.1766029739226698,0.9546979823099702,0.9876573444615647
11795,0.10955843399224041,0.8904415660077596,0.5561404140725869,0.6491567541252533,0.7548706647646308,0.5096727493441077,0.6211250518340842,0.7304261652381988
11796,0.09867183186721273,0.9013281681327873,0.41763315915764976,0.48225848881961736,0.5421864392164781,0.49271630164885655,0.543779556980057,0.6069268040232563
11797,0.09541222910578939,0.9045877708942106,0.41318048616734576,0.47654363598734456,0.5354596991660721,0.4359034765519281,0.5265363978323976,0.5769996391196391
11798,0.09500396264309618,0.9049960373569038,0.39813779509952624,0.46477924268201093,0.5218000405064558,0.5218190375814356,0.5464951605102408,0.5884814260049425
11799,0.09687535787118429,0.9031246421288157,0.38827464916588006,0.45698650797029905,0.514644764204739,0.5865345789171251,0.6560809054044682,0.7040971499636584
11800,0.09710021361587629,0.9028997863841237,0.39696923000888756,0.4577410716975553,0.517890527493911,0.5923219786694739,0.649789903076217,0.6953932066934114
11801,0.09742889094149465,0.9025711090585053,0.4052130436236498,0.4581314972398715,0.5206339399089724,0.6112923587075569,0.6060097238836857,0.6476576348328108
11802,0.0977367657153917,0.9022632342846083,0.414466798133375,0.4586871220381058,0.5233279257261376,0.43122489075062226,0.46582234919121845,0.5318433525254057
11803,0.09782962601755285,0.9021703739824471,0.42706270417630054,0.4598406629382445,0.5265241949792812,0.41174909980771973,0.45584711179148957,0.5251296617514634
11804,0.0979160616834075,0.9020839383165925,0.4209840569260145,0.45506525519965013,0.526104928733507,0.40499846346107826,0.4508403385177108,0.525723684779651
11805,0.0951783062174375,0.9048216937825625,0.42579375497671296,0.4537303885171293,0.5264789994011697,0.4602528511248492,0.48052581047784576,0.5491997298217919
11806,0.09566082695745082,0.9043391730425492,0.43190600706245225,0.4536823685921718,0.5257548627281183,0.45065366986039707,0.4615360547893141,0.5284611940024385
11807,0.09626029241371181,0.9037397075862882,0.45070487025676276,0.4582841442935964,0.5408250764066391,0.43518513216450766,0.44935189284046567,0.5416453896604289
11808,0.08995187163588303,0.910048128364117,0.4351503463272749,0.44481351130823155,0.5392055819849649,0.4683784016224034,0.4618914547352705,0.5440391895385412
11809,0.0903029563405453,0.9096970436594547,0.4499452175849854,0.4581390106121541,0.5600555670592713,0.4091326048097544,0.48955397326923733,0.6458497633679204
11810,0.09014826283729127,0.9098517371627087,0.45200647610199246,0.46994774453835036,0.5853458268618563,0.42230942469113836,0.45590072604673476,0.5642214502994279
